HDR,ROLLING SYSTEM DEMAND
VD,20201015114500,34200
VD,20201015115000,34144
VD,20201015115500,34121
VD,20201015120000,34113
VD,20201015120500,34346
VD,20201015121000,34386
VD,20201015121500,34435
VD,20201015122000,34538
VD,20201015122500,34437
VD,20201015123000,34424
VD,20201015123500,34400
VD,20201015124000,34094
VD,20201015124500,33987
VD,20201015125000,33936
VD,20201015125500,33836
VD,20201015130000,33788
VD,20201015130500,33786
VD,20201015131000,33927
VD,20201015131500,34029
VD,20201015132000,33919
VD,20201015132500,33864
VD,20201015133000,33860
VD,20201015133500,33960
VD,20201015134000,33961
VD,20201015134500,34025
VD,20201015135000,34278
VD,20201015135500,34258
VD,20201015140000,34159
VD,20201015140500,33977
VD,20201015141000,33947
VD,20201015141500,34145
VD,20201015142000,34245
VD,20201015142500,34231
VD,20201015143000,34485
VD,20201015143500,34701
VD,20201015144000,34775
VD,20201015144500,34961
VD,20201015145000,35079
VD,20201015145500,35248
VD,20201015150000,35466
VD,20201015150500,35981
VD,20201015151000,35775
VD,20201015151500,36020
VD,20201015152000,36392
VD,20201015152500,36616
VD,20201015153000,36780
VD,20201015153500,37087
VD,20201015154000,37369
VD,20201015154500,37605
VD,20201015155000,37852
VD,20201015155500,38118
VD,20201015160000,38278
VD,20201015160500,38706
VD,20201015161000,38733
VD,20201015161500,38910
VD,20201015162000,39178
VD,20201015162500,39488
VD,20201015163000,39727
VD,20201015163500,39597
VD,20201015164000,39687
VD,20201015164500,39751
VD,20201015165000,39812
VD,20201015165500,39900
VD,20201015170000,39844
VD,20201015170500,39974
VD,20201015171000,39988
VD,20201015171500,40100
VD,20201015172000,40158
VD,20201015172500,40303
VD,20201015173000,40455
VD,20201015173500,40659
VD,20201015174000,40825
VD,20201015174500,40782
VD,20201015175000,40849
VD,20201015175500,40811
VD,20201015180000,40693
VD,20201015180500,40609
VD,20201015181000,40458
VD,20201015181500,40128
VD,20201015182000,40012
VD,20201015182500,39896
VD,20201015183000,39707
VD,20201015183500,39699
VD,20201015184000,39792
VD,20201015184500,39457
VD,20201015185000,39115
VD,20201015185500,38984
VD,20201015190000,38802
VD,20201015190500,38675
VD,20201015191000,38519
VD,20201015191500,38351
VD,20201015192000,38175
VD,20201015192500,37969
VD,20201015193000,37692
VD,20201015193500,37470
VD,20201015194000,37169
VD,20201015194500,36674
VD,20201015195000,36301
VD,20201015195500,36155
VD,20201015200000,35831
VD,20201015200500,35519
VD,20201015201000,35328
VD,20201015201500,34985
VD,20201015202000,34780
VD,20201015202500,34326
VD,20201015203000,33851
VD,20201015203500,33673
VD,20201015204000,33480
VD,20201015204500,33153
VD,20201015205000,32793
VD,20201015205500,32484
VD,20201015210000,32116
VD,20201015210500,31773
VD,20201015211000,31248
VD,20201015211500,31007
VD,20201015212000,30625
VD,20201015212500,30347
VD,20201015213000,29938
VD,20201015213500,29734
VD,20201015214000,29471
VD,20201015214500,29172
VD,20201015215000,28746
VD,20201015215500,28334
VD,20201015220000,28145
VD,20201015220500,28298
VD,20201015221000,28164
VD,20201015221500,27843
VD,20201015222000,27672
VD,20201015222500,27421
VD,20201015223000,27118
VD,20201015223500,26941
VD,20201015224000,26701
VD,20201015224500,26539
VD,20201015225000,26363
VD,20201015225500,26063
VD,20201015230000,25808
VD,20201015230500,25621
VD,20201015231000,25427
VD,20201015231500,25360
VD,20201015232000,25373
VD,20201015232500,25299
VD,20201015233000,25245
VD,20201015233500,25275
VD,20201015234000,25284
VD,20201015234500,25250
VD,20201015235000,25192
VD,20201015235500,25096
VD,20201016000000,25037
VD,20201016000500,25045
VD,20201016001000,24955
VD,20201016001500,24985
VD,20201016002000,25000
VD,20201016002500,25019
VD,20201016003000,25007
VD,20201016003500,25186
VD,20201016004000,25381
VD,20201016004500,25405
VD,20201016005000,25348
VD,20201016005500,25345
VD,20201016010000,25248
VD,20201016010500,25258
VD,20201016011000,25255
VD,20201016011500,25285
VD,20201016012000,25409
VD,20201016012500,25412
VD,20201016013000,25451
VD,20201016013500,25416
VD,20201016014000,25297
VD,20201016014500,25246
VD,20201016015000,25190
VD,20201016015500,25062
VD,20201016020000,25038
VD,20201016020500,24838
VD,20201016021000,24868
VD,20201016021500,24853
VD,20201016022000,24754
VD,20201016022500,24707
VD,20201016023000,24716
VD,20201016023500,24690
VD,20201016024000,24692
VD,20201016024500,24685
VD,20201016025000,24671
VD,20201016025500,24623
VD,20201016030000,24564
VD,20201016030500,24456
VD,20201016031000,24532
VD,20201016031500,24537
VD,20201016032000,24493
VD,20201016032500,24433
VD,20201016033000,24346
VD,20201016033500,24259
VD,20201016034000,24245
VD,20201016034500,24273
